project_scope,language,source_layer,code_family,code,label_en,keyword,keyword_translation_or_note,current_pipeline_status,reviewer,review_decision,suggested_replacement,notes
cross_language_tourism_side_project,English,Google reviews,friction,cleanliness_comfort,Cleanliness / Comfort,bad smell,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,cleanliness_comfort,Cleanliness / Comfort,foul smell,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,cleanliness_comfort,Cleanliness / Comfort,poor maintenance,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,cleanliness_comfort,Cleanliness / Comfort,run down,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,cleanliness_comfort,Cleanliness / Comfort,dilapidated,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,cleanliness_comfort,Cleanliness / Comfort,shabby,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,cleanliness_comfort,Cleanliness / Comfort,poorly maintained,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,cleanliness_comfort,Cleanliness / Comfort,needs maintenance,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,cleanliness_comfort,Cleanliness / Comfort,no shelter,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,cleanliness_comfort,Cleanliness / Comfort,no seating,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,cleanliness_comfort,Cleanliness / Comfort,no shade,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,cleanliness_comfort,Cleanliness / Comfort,no benches,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,cleanliness_comfort,Cleanliness / Comfort,toilets were dirty,Existing English codebook keyword,currently_used_for_english_friction,,,,
